requested_amount,purpose,credit_score,credit_utilization,payment_history_percent,derogatory_marks,hard_inquiries,total_accounts,oldest_account_years,annual_income,employment_length_months,debt_to_income,monthly_debt_payments,target
8133.0,used car,704,0.2782,0.8062,0,0,4,5.1,40100.76,21,0.2828,945.2,good
730.0,radio/tv,836,0.0,0.9814,0,0,6,6.0,26661.82,150,0.03,66.65,good
1164.0,other,725,0.2499,0.9162,0,1,6,9.3,81229.19,125,0.2487,1683.16,good
5954.0,business,607,0.3595,0.772,3,2,4,1.8,24464.49,61,0.3554,724.61,good
1977.0,education,523,0.4678,0.6877,2,2,5,7.2,59410.24,116,0.4164,2061.75,bad
1526.0,used car,788,0.205,0.9273,1,0,5,7.9,69913.77,121,0.183,1066.24,good
3965.0,radio/tv,440,0.6052,0.5992,3,4,3,6.0,34918.19,0,0.4947,1439.54,bad
4771.0,radio/tv,791,0.212,0.9231,0,2,4,7.6,43467.79,59,0.1557,564.08,good
9436.0,used car,754,0.1563,0.898,2,0,3,4.4,24658.87,29,0.1769,363.5,good
3832.0,furniture/equipment,539,0.5622,0.6737,1,3,3,0.5,20945.71,0,0.4707,821.66,good
5943.0,radio/tv,809,0.1002,1.0,1,0,5,2.1,44118.02,0,0.2068,760.26,bad
1213.0,radio/tv,767,0.1091,0.9312,0,0,6,7.0,53850.8,140,0.1867,837.65,good
1568.0,business,745,0.2729,0.8832,0,3,4,6.8,17200.2,26,0.2593,371.67,good
1755.0,other,756,0.2191,0.8856,0,0,2,7.4,31252.1,127,0.2489,648.21,good
2315.0,radio/tv,721,0.2299,0.8656,2,1,4,8.2,28947.1,127,0.3023,729.16,good
1412.0,business,850,0.0794,0.9017,0,0,4,3.8,88615.23,37,0.0455,336.0,good
1295.0,furniture/equipment,615,0.3777,0.7642,1,3,4,0.5,33209.16,0,0.3825,1058.55,good
12612.0,education,438,0.7153,0.6789,0,0,4,5.6,38247.1,1,0.4604,1467.42,bad
2249.0,new car,599,0.422,0.7702,1,1,2,3.7,63341.9,59,0.3467,1830.17,good
1108.0,repairs,568,0.5361,0.747,1,0,5,4.0,43099.17,45,0.3933,1412.65,bad
618.0,radio/tv,799,0.0943,0.9793,0,0,3,11.5,53918.04,139,0.1139,511.69,good
1409.0,used car,791,0.0028,0.9205,0,0,3,8.0,50302.25,141,0.1506,631.47,good
797.0,radio/tv,811,0.1584,0.9171,0,1,3,5.1,18789.72,131,0.1872,293.13,bad
3617.0,furniture/equipment,682,0.3424,0.82,0,0,6,7.3,40285.76,126,0.2491,836.16,good
1318.0,new car,769,0.0913,0.9135,0,0,4,7.7,54838.87,129,0.1091,498.44,good
15945.0,business,347,0.8382,0.492,4,3,5,6.0,35578.64,0,0.6186,1834.21,bad
2012.0,education,830,0.0,0.9993,0,0,2,4.6,45603.09,65,0.1278,485.54,good
2622.0,business,697,0.3189,0.8058,2,3,4,4.8,42677.0,28,0.3323,1181.78,good
2337.0,radio/tv,710,0.3191,0.8281,0,0,2,9.1,36885.39,130,0.1428,438.93,good
7057.0,used car,751,0.2408,0.8763,0,1,6,8.5,86874.72,64,0.2911,2107.08,good
1469.0,new car,649,0.2134,0.846,0,1,4,8.7,33157.66,123,0.2713,749.69,good
2323.0,radio/tv,565,0.4224,0.7397,2,1,3,8.1,24685.27,58,0.3906,803.57,good
932.0,radio/tv,835,0.1158,0.9267,0,0,3,2.1,43906.94,25,0.1807,661.12,good
1919.0,furniture/equipment,786,0.2297,0.9598,1,3,5,8.0,50118.4,40,0.135,563.81,good
2445.0,used car,817,0.1078,0.9116,0,0,5,8.1,42887.47,0,0.1293,462.1,good
11938.0,other,682,0.3875,0.7829,1,0,4,5.0,65296.19,27,0.3357,1826.68,bad
6458.0,new car,497,0.6021,0.6384,5,1,7,7.4,81051.44,119,0.4874,3292.05,bad
6078.0,new car,634,0.3799,0.8239,0,1,2,1.4,39383.23,57,0.3367,1104.92,good
7721.0,furniture/equipment,757,0.2417,0.8699,0,0,3,3.8,41885.09,21,0.0744,259.83,good
1410.0,business,816,0.1401,0.9097,1,1,5,4.5,48663.67,124,0.1602,649.78,good
1449.0,business,626,0.3632,0.8164,2,1,4,3.3,22993.46,122,0.3317,635.52,good
392.0,education,507,0.5315,0.6125,1,4,3,7.4,31671.52,0,0.5276,1392.62,good
6260.0,new car,549,0.4763,0.6633,4,1,3,4.8,18861.41,37,0.3797,596.8,good
7855.0,new car,526,0.5294,0.6774,2,1,9,2.4,30618.18,13,0.5065,1292.38,bad
1680.0,radio/tv,727,0.1645,0.8434,1,1,3,0.5,45205.35,113,0.2994,1128.04,good
3578.0,radio/tv,804,0.1468,0.9551,0,0,4,1.1,51817.49,134,0.1977,853.6,good
7174.0,radio/tv,571,0.4001,0.7299,2,0,3,4.9,68091.56,49,0.3236,1836.37,bad
2132.0,furniture/equipment,768,0.0907,0.9136,0,0,5,6.1,41686.32,4,0.1297,450.66,good
4281.0,furniture/equipment,627,0.3941,0.8003,1,0,6,7.7,24161.29,3,0.2501,503.57,bad
2366.0,new car,772,0.1335,0.8819,2,1,4,4.9,75566.73,71,0.165,1039.2,good
1835.0,radio/tv,603,0.5215,0.7138,4,1,4,2.2,36487.79,42,0.32,972.91,bad
3868.0,used car,758,0.175,0.9117,0,1,7,4.6,92754.12,120,0.1784,1379.13,good
1768.0,furniture/equipment,756,0.1896,0.9139,2,1,5,4.8,13757.58,28,0.1914,219.48,good
781.0,new car,755,0.1626,0.894,1,1,5,8.8,41957.33,134,0.2474,865.17,good
1924.0,furniture/equipment,630,0.3774,0.739,2,2,6,5.2,25066.57,5,0.4235,884.54,bad
2121.0,new car,568,0.4039,0.6973,3,2,6,1.0,25964.23,14,0.3652,790.16,good
701.0,radio/tv,607,0.4951,0.7623,1,3,4,3.6,26529.74,20,0.3402,752.03,good
639.0,repairs,599,0.4013,0.7744,4,0,2,1.5,31816.97,36,0.2538,672.82,bad
1860.0,used car,811,0.1258,0.9021,1,1,6,5.2,61123.59,0,0.1736,884.27,good
3499.0,new car,483,0.6391,0.6347,4,2,6,1.9,39608.08,20,0.4581,1511.96,bad
8487.0,new car,595,0.4816,0.6754,3,1,2,3.9,26502.64,77,0.4844,1069.86,good
6887.0,education,352,0.8489,0.4711,6,4,4,5.3,18590.54,9,0.5929,918.51,bad
2708.0,furniture/equipment,728,0.231,0.8094,1,1,5,5.6,17838.14,2,0.223,331.45,good
1984.0,furniture/equipment,630,0.3264,0.812,2,0,5,7.3,48494.67,30,0.3071,1241.07,good
10144.0,radio/tv,716,0.3085,0.7861,0,1,3,10.0,29389.13,58,0.2402,588.26,good
1240.0,radio/tv,842,0.118,0.9346,0,0,6,3.3,41182.8,132,0.1342,460.42,good
8613.0,used car,836,0.008,0.9201,0,0,4,5.1,36208.28,31,0.0807,243.45,good
766.0,radio/tv,770,0.1358,0.9321,0,1,4,8.0,38909.92,30,0.209,677.68,bad
2728.0,radio/tv,821,0.0918,0.9795,0,0,10,5.2,54839.05,76,0.1325,605.44,good
1881.0,radio/tv,709,0.1976,0.9261,0,0,6,5.1,23663.89,17,0.2455,484.2,good
709.0,new car,784,0.0204,0.9502,0,0,4,5.1,13389.8,10,0.1217,135.76,good
4795.0,radio/tv,408,0.6391,0.5839,3,4,2,0.5,45323.61,0,0.5218,1970.82,good
3416.0,radio/tv,542,0.3902,0.7241,3,0,5,4.9,63789.5,10,0.4194,2229.59,good
2462.0,furniture/equipment,624,0.3726,0.7438,2,0,4,5.7,33865.72,23,0.2858,806.7,bad
2288.0,furniture/equipment,733,0.1301,0.9168,0,1,2,8.6,33303.36,1,0.1635,453.73,good
3566.0,business,518,0.5449,0.6832,1,2,2,4.7,25233.1,59,0.402,845.34,good
860.0,new car,637,0.3403,0.8651,2,1,4,8.2,36433.4,118,0.2908,882.95,good
682.0,new car,784,0.1325,0.9683,0,0,6,5.8,63597.95,61,0.1637,867.77,good
5371.0,furniture/equipment,656,0.2532,0.8202,1,1,5,5.6,40877.4,23,0.3047,1038.01,good
1582.0,radio/tv,850,0.0617,0.969,0,0,6,8.7,39728.48,120,0.1365,451.9,good
1346.0,radio/tv,814,0.1083,0.9503,1,0,2,8.7,50483.74,127,0.0518,217.84,good
1924.0,radio/tv,850,0.1344,0.9832,0,0,3,7.6,49209.23,34,0.0859,352.35,good
5848.0,radio/tv,577,0.3963,0.7434,0,0,3,1.5,29557.14,4,0.3347,824.3,good
7758.0,used car,740,0.2907,0.8509,0,0,3,9.5,39106.81,133,0.1619,527.76,good
6967.0,business,668,0.2205,0.7732,0,0,3,7.9,72858.85,42,0.2709,1644.86,good
1282.0,furniture/equipment,527,0.442,0.703,5,4,4,6.3,18896.09,30,0.4249,669.01,bad
1288.0,repairs,829,0.141,0.9432,0,0,6,9.0,51247.33,135,0.0669,285.51,good
339.0,retraining,548,0.5088,0.691,3,1,3,0.5,24385.63,136,0.4316,877.17,good
3512.0,new car,620,0.384,0.8064,4,1,6,5.1,56739.82,60,0.3425,1619.44,good
1898.0,radio/tv,820,0.134,0.9468,0,0,5,3.4,19981.6,32,0.0972,161.78,good
2872.0,radio/tv,835,0.137,0.9398,0,0,2,10.3,47965.03,136,0.1492,596.45,good
1055.0,new car,713,0.26,0.7796,0,0,5,0.5,40125.36,0,0.3816,1276.05,good
1262.0,domestic appliance,818,0.1056,0.9676,0,0,4,5.2,32620.57,65,0.1708,464.23,good
7308.0,new car,533,0.5421,0.7415,1,1,3,7.0,79330.72,0,0.4001,2645.12,good
909.0,new car,692,0.2725,0.8455,2,2,5,10.2,35487.78,126,0.2276,673.21,good
2978.0,furniture/equipment,826,0.0257,0.9468,0,0,5,4.5,46083.02,47,0.1298,498.42,good
1131.0,furniture/equipment,512,0.4918,0.6203,2,2,4,0.9,40388.98,0,0.4668,1571.0,bad
1577.0,furniture/equipment,708,0.2474,0.8407,3,0,3,2.0,36428.34,10,0.1737,527.19,good
3972.0,furniture/equipment,772,0.1993,0.8792,0,0,3,8.1,26303.2,59,0.1022,223.94,good
1935.0,business,659,0.3951,0.8135,1,0,4,7.1,24944.88,134,0.2618,544.16,bad
950.0,new car,366,0.7799,0.5229,4,1,5,5.5,36605.12,132,0.6296,1920.63,bad
763.0,furniture/equipment,758,0.1507,0.9054,1,0,4,1.9,46783.86,29,0.1652,643.93,good
2064.0,furniture/equipment,653,0.3733,0.8213,2,1,4,4.7,69823.57,0,0.3309,1925.34,bad
1414.0,radio/tv,828,0.1197,1.0,0,0,3,4.2,39528.62,30,0.0527,173.67,good
3414.0,education,548,0.6179,0.6707,3,2,4,2.1,36012.25,0,0.4942,1483.12,bad
7485.0,used car,751,0.1653,0.8865,0,0,3,3.5,100635.34,0,0.2179,1827.42,bad
2577.0,furniture/equipment,590,0.5005,0.8178,1,0,3,0.6,39710.29,32,0.3774,1248.95,good
338.0,radio/tv,773,0.1292,0.9373,0,1,6,9.3,45384.43,117,0.0803,303.72,good
1963.0,radio/tv,793,0.0675,0.9199,0,0,6,3.5,73336.87,58,0.2237,1367.26,good
571.0,new car,679,0.3407,0.8399,2,1,5,5.0,48093.49,117,0.2717,1088.93,good
9572.0,business,638,0.4686,0.7078,2,2,5,0.5,35715.24,5,0.2809,836.01,bad
4455.0,business,539,0.6605,0.643,1,4,7,2.4,62118.8,20,0.4334,2243.54,bad
1647.0,new car,437,0.757,0.6286,0,4,8,1.6,14656.63,0,0.5256,641.9,bad
3777.0,furniture/equipment,805,0.0333,0.9666,0,0,2,10.3,53936.02,30,0.0762,342.66,good
884.0,new car,593,0.4488,0.7564,4,0,5,7.4,37439.52,123,0.3361,1048.77,bad
1360.0,radio/tv,816,0.1789,0.94,0,0,5,6.8,40562.56,11,0.2151,727.02,good
5129.0,used car,625,0.3836,0.7964,1,2,4,7.0,105634.65,125,0.3694,3251.97,bad
1175.0,new car,793,0.1698,0.901,1,0,8,6.9,29133.26,0,0.1863,452.31,good
674.0,radio/tv,717,0.2912,0.8199,1,1,5,0.5,28326.66,46,0.3052,720.56,bad
3244.0,furniture/equipment,533,0.5558,0.6813,3,0,5,7.7,24254.26,15,0.4583,926.34,good
4591.0,business,808,0.0941,0.9689,0,0,11,7.8,75453.4,31,0.0594,373.35,bad
3844.0,business,478,0.722,0.6308,1,3,3,8.5,15243.65,58,0.4109,521.94,bad
3915.0,business,568,0.5154,0.7287,6,4,3,2.3,46205.16,18,0.3987,1535.24,bad
2108.0,radio/tv,812,0.0751,0.9223,1,0,4,3.8,29080.16,59,0.1979,479.61,good
3031.0,radio/tv,598,0.5083,0.7194,3,1,3,6.5,31785.39,20,0.3947,1045.47,bad
1501.0,education,696,0.3135,0.8588,1,1,7,5.8,62233.65,119,0.2391,1240.23,bad
1382.0,radio/tv,850,0.0766,1.0,0,1,5,3.7,35581.25,29,0.1291,382.73,good
951.0,furniture/equipment,381,0.7099,0.5123,3,2,10,5.6,33414.19,0,0.57,1587.06,bad
2760.0,used car,727,0.2455,0.8716,1,0,3,8.0,47966.8,122,0.2406,961.9,good
4297.0,furniture/equipment,504,0.5043,0.6273,3,5,4,3.6,76884.29,128,0.4256,2726.96,bad
936.0,education,820,0.0,0.9684,0,0,5,4.2,42986.24,130,0.1365,489.11,good
1168.0,new car,482,0.6445,0.6325,1,1,6,6.9,12000.0,5,0.477,476.98,good
5117.0,business,742,0.1804,0.8962,0,0,7,9.2,33292.4,49,0.259,718.63,good
902.0,retraining,659,0.3438,0.8139,0,2,2,5.8,33838.63,66,0.3639,1026.18,bad
1495.0,new car,750,0.2111,0.9256,0,2,5,1.0,18288.71,143,0.2099,319.89,good
10623.0,used car,600,0.475,0.7573,2,1,8,9.2,60970.69,125,0.4025,2045.17,good
1935.0,furniture/equipment,835,0.1178,0.9572,0,0,8,7.7,43262.26,140,0.161,580.52,good
1424.0,domestic appliance,776,0.219,0.8964,0,0,2,7.2,32186.01,56,0.2183,585.49,good
6568.0,business,429,0.6836,0.5171,1,1,3,2.2,12000.0,1,0.5945,594.47,good
1413.0,used car,850,0.0044,1.0,0,0,2,4.4,51241.84,81,0.1511,645.12,good
3074.0,radio/tv,850,0.0436,1.0,1,0,5,5.0,44481.39,39,0.0599,221.87,good
3835.0,radio/tv,815,0.1457,0.9876,1,0,2,7.9,30241.06,139,0.1385,349.1,good
5293.0,business,444,0.6531,0.6354,2,1,4,4.9,43680.2,0,0.5629,2048.85,bad
1908.0,business,837,0.1962,0.8799,0,1,3,7.2,67133.83,130,0.1389,777.04,bad
3342.0,radio/tv,780,0.0586,0.95,0,0,5,4.7,53251.2,133,0.081,359.47,good
932.0,retraining,823,0.1137,0.9468,0,0,7,7.7,25737.76,59,0.1154,247.5,good
3104.0,business,573,0.5346,0.6604,2,4,5,3.0,44913.98,69,0.375,1403.52,good
3913.0,radio/tv,713,0.2424,0.8544,2,0,4,3.5,31722.08,32,0.2604,688.37,good
3021.0,furniture/equipment,506,0.4537,0.6062,1,2,2,2.5,13716.15,14,0.5134,586.79,good
1364.0,new car,788,0.1963,0.9377,1,0,3,5.5,40722.69,19,0.239,811.05,good
625.0,radio/tv,680,0.4202,0.8187,1,1,3,3.0,15815.04,15,0.2914,384.02,good
1200.0,education,445,0.6417,0.5912,8,1,5,8.4,30177.12,26,0.5483,1378.94,good
707.0,radio/tv,746,0.3019,0.9026,1,0,5,6.7,44579.83,23,0.272,1010.4,good
2978.0,business,825,0.0585,1.0,1,0,5,9.5,56638.76,25,0.186,877.73,good
4657.0,used car,803,0.0921,0.9818,0,0,8,3.3,40182.61,29,0.1526,510.91,good
2613.0,repairs,568,0.503,0.6734,3,0,6,1.9,32824.97,28,0.3471,949.42,good
10961.0,radio/tv,558,0.4884,0.6913,1,1,5,1.8,27787.51,53,0.3583,829.67,bad
7865.0,furniture/equipment,556,0.4488,0.6969,0,0,5,7.0,73852.01,122,0.3444,2119.29,bad
1478.0,radio/tv,813,0.1734,0.9199,0,0,4,4.2,27002.42,54,0.2378,535.06,bad
3149.0,furniture/equipment,416,0.7261,0.5105,2,4,3,0.5,38644.58,0,0.5376,1731.35,good
4210.0,radio/tv,632,0.4437,0.8107,1,2,4,1.6,29139.01,22,0.3234,785.39,bad
2507.0,new car,816,0.1628,0.9563,0,0,2,7.6,25620.36,133,0.2317,494.68,good
2141.0,radio/tv,814,0.1335,0.9679,1,1,5,1.3,39922.26,56,0.176,585.43,good
866.0,radio/tv,749,0.3441,0.8823,0,1,2,4.1,17094.34,28,0.2764,393.76,good
1544.0,radio/tv,847,0.1057,1.0,0,0,6,2.0,24660.62,59,0.1249,256.65,good
1823.0,radio/tv,516,0.5838,0.5659,2,1,5,1.0,72067.33,0,0.4798,2881.69,bad
14555.0,new car,687,0.2377,0.8343,1,1,3,2.6,12000.0,0,0.2906,290.56,bad
2767.0,business,417,0.6267,0.5702,2,2,8,1.6,32805.61,113,0.4689,1281.86,bad
1291.0,radio/tv,804,0.1856,0.9136,0,0,4,4.1,42111.96,33,0.1933,678.35,good
2522.0,radio/tv,721,0.1543,0.8976,1,0,5,6.4,39294.53,120,0.2571,841.76,good
915.0,new car,454,0.6067,0.5589,1,4,2,1.0,38525.87,109,0.5221,1676.35,bad
1595.0,radio/tv,822,0.1287,0.9727,0,0,5,2.6,55901.91,62,0.1522,709.05,good
4605.0,used car,414,0.6544,0.6043,4,2,7,6.1,27122.47,110,0.5191,1173.3,bad
1185.0,business,758,0.036,0.9665,0,0,6,5.7,35004.12,36,0.117,341.36,good
3447.0,retraining,723,0.1561,0.8801,1,0,3,6.9,24231.9,26,0.2506,506.05,good
1258.0,business,795,0.2347,0.961,1,1,3,0.8,36254.22,60,0.1616,488.15,good
717.0,radio/tv,829,0.1682,0.9609,1,0,7,6.7,48205.19,132,0.1363,547.54,good
1204.0,new car,707,0.3205,0.8433,3,1,3,1.1,38563.15,28,0.3016,969.36,good
1925.0,furniture/equipment,728,0.246,0.8817,2,1,2,4.6,32274.62,27,0.1427,383.87,good
433.0,radio/tv,705,0.2663,0.8159,1,0,3,8.2,34706.71,0,0.293,847.39,bad
666.0,new car,806,0.0696,0.9577,1,0,6,6.8,23156.59,64,0.1198,231.11,good
2251.0,furniture/equipment,752,0.1393,0.8977,1,1,3,4.5,27287.41,23,0.219,497.9,good
2150.0,new car,354,0.6426,0.5016,4,5,6,1.5,38203.53,14,0.5457,1737.38,bad
4151.0,furniture/equipment,787,0.1601,0.8687,1,0,6,7.8,42697.18,27,0.0828,294.69,good
2030.0,furniture/equipment,837,0.133,1.0,0,0,9,1.3,39602.7,63,0.1044,344.45,good
7418.0,radio/tv,737,0.2852,0.8425,1,0,4,1.4,13637.04,30,0.3382,384.33,good
2684.0,radio/tv,836,0.0986,0.982,0,0,7,2.6,18855.55,32,0.1907,299.72,good
2149.0,radio/tv,439,0.7818,0.4895,3,5,4,1.0,38264.1,18,0.6081,1939.05,bad
3812.0,used car,840,0.1141,0.9676,0,0,3,9.0,47732.62,5,0.1697,674.97,good
1154.0,radio/tv,827,0.1563,0.941,0,0,9,8.4,33828.97,3,0.1952,550.31,good
1657.0,furniture/equipment,680,0.2467,0.8021,4,0,2,3.7,41300.58,18,0.2765,951.71,good
1603.0,radio/tv,566,0.4258,0.6631,2,3,3,7.9,36385.21,128,0.3769,1142.76,good
5302.0,new car,572,0.4615,0.6994,4,0,9,6.0,79779.03,107,0.4107,2730.56,good
2748.0,education,721,0.2957,0.8395,1,0,8,9.7,36454.25,132,0.2441,741.45,good
1231.0,new car,799,0.1398,0.9893,0,0,6,6.4,23694.24,133,0.1558,307.65,good
802.0,radio/tv,675,0.4338,0.8268,0,0,3,4.4,41467.46,118,0.2391,826.18,bad
6304.0,business,788,0.2279,0.9806,0,0,5,7.9,32154.23,141,0.1578,422.86,good
1533.0,radio/tv,711,0.3644,0.7929,1,1,4,4.9,37662.64,0,0.3621,1136.6,good
8978.0,new car,606,0.326,0.8225,0,0,4,9.0,73662.76,140,0.3477,2134.22,bad
999.0,radio/tv,800,0.17,0.9766,2,0,6,5.8,40421.63,119,0.1231,414.74,good
2662.0,new car,794,0.0689,0.9627,1,0,2,8.2,42735.07,77,0.2012,716.51,good
1402.0,furniture/equipment,830,0.1325,0.9869,0,0,2,7.6,44435.73,65,0.1688,624.97,good
12169.0,new car,336,0.8019,0.4873,4,2,4,4.8,62622.78,0,0.605,3156.99,good
3060.0,radio/tv,584,0.4539,0.7445,6,0,6,9.0,29479.71,49,0.347,852.52,bad
11998.0,repairs,351,0.7704,0.4668,3,0,2,0.5,16461.82,0,0.5539,759.86,bad
2697.0,radio/tv,822,0.1223,0.9493,0,0,2,4.8,44964.52,31,0.1731,648.47,good
2404.0,radio/tv,796,0.189,0.9645,0,0,4,4.9,41011.9,30,0.1915,654.33,good
